timestamp,open,high,low,close,volume,symbol,z_score,avg_top_level,avg_bot_level,res_band_low,res_band_high,sup_band_low,sup_band_high,signal_zscore,pct_rank_t,pct_rank_b,col_t,col_b,up_trend,down_trend,ppo_pro_signal,message
2015-03-09 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-0.0,hidden,hidden,False,False,,
2015-03-10 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,50.0,-0.0,hidden,hidden,False,False,,
2015-03-11 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,66.67,-0.0,hidden,hidden,False,False,,
2015-03-12 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,75.0,-0.0,hidden,hidden,False,False,,
2015-03-13 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,60.0,-20.0,hidden,hidden,False,False,,
2015-03-14 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,50.0,-33.33,hidden,hidden,False,False,,
2015-03-15 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,28.57,-57.14,hidden,hidden,False,False,,
2015-03-16 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,25.0,-62.5,hidden,hidden,False,False,,
2015-03-17 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,11.11,-77.78,hidden,hidden,False,False,,
2015-03-18 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,10.0,-80.0,hidden,hidden,False,False,,
2015-03-19 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,9.09,-81.82,hidden,hidden,False,False,,
2015-03-20 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,8.33,-83.33,hidden,hidden,False,False,,
2015-03-21 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-92.31,hidden,hidden,False,False,,
2015-03-22 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-92.86,hidden,hidden,False,False,,
2015-03-23 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-93.33,hidden,hidden,False,False,,
2015-03-24 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-93.75,hidden,hidden,False,False,,
2015-03-25 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-94.12,hidden,hidden,False,False,,
2015-03-26 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-94.44,hidden,hidden,False,False,,
2015-03-27 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-94.74,hidden,hidden,False,False,,
2015-03-28 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-95.0,hidden,hidden,False,False,,
2015-03-29 07:00:00,286.55,286.55,286.55,286.55,0.0,BTCUSDT,,2.0,-2.0,,,,,,0.0,-95.24,hidden,hidden,False,False,,
